Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link
Satyam Homes,1260,7.8,21.0,Shoja,350 m ,https://www.booking.com/hotel/in/satyam-homes.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=e24ce1e10494bbdad81eea9e540790e5&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0a346b22766c00ed&srepoch=1712243656&all_sr_blocks=838529603_350298861_2_0_0&highlighted_blocks=838529603_350298861_2_0_0&matching_block_id=838529603_350298861_2_0_0&sr_pri_blocks=838529603_350298861_2_0_0__126000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sunshine Cafe & Cottage Riverside,2851,7.3,6.0,Shoja,1.3 km ,https://www.booking.com/hotel/in/sunshine-cafe-amp-cottage.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=e24ce1e10494bbdad81eea9e540790e5&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0a346b22766c00ed&srepoch=1712243656&all_sr_blocks=964256601_368970835_2_1_0&highlighted_blocks=964256601_368970835_2_1_0&matching_block_id=964256601_368970835_2_1_0&sr_pri_blocks=964256601_368970835_2_1_0__285086&from=searchresults#hotelTmpl
DreamLand Home stay (JALORI PASS),5856,0.0,0.0,Shoja,1.1 km ,https://www.booking.com/hotel/in/dreamland-home-stay-jalori-pass.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=e24ce1e10494bbdad81eea9e540790e5&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0a346b22766c00ed&srepoch=1712243656&all_sr_blocks=498635201_179687932_0_0_0&highlighted_blocks=498635201_179687932_0_0_0&matching_block_id=498635201_179687932_0_0_0&sr_pri_blocks=498635201_179687932_0_0_0__585600&from=searchresults#hotelTmpl
God Wood Homestay,1980,0.0,0.0,Shoja,1.2 km ,https://www.booking.com/hotel/in/god-wood-homestay-shoja.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=e24ce1e10494bbdad81eea9e540790e5&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0a346b22766c00ed&srepoch=1712243656&all_sr_blocks=1180005101_390458765_2_2_0&highlighted_blocks=1180005101_390458765_2_2_0&matching_block_id=1180005101_390458765_2_2_0&sr_pri_blocks=1180005101_390458765_2_2_0__198000&from=searchresults#hotelTmpl
Sojhaholidayinn,1300,0.0,0.0,Shoja,400 m ,https://www.booking.com/hotel/in/sojhaholidayinn.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=e24ce1e10494bbdad81eea9e540790e5&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0a346b22766c00ed&srepoch=1712243656&all_sr_blocks=1159411502_388658364_2_42_0&highlighted_blocks=1159411502_388658364_2_42_0&matching_block_id=1159411502_388658364_2_42_0&sr_pri_blocks=1159411502_388658364_2_42_0__130000&from=searchresults#hotelTmpl
Kiran Home Stay,2250,0.0,0.0,Shoja,450 m ,https://www.booking.com/hotel/in/kiran-home-stay-kullu.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=e24ce1e10494bbdad81eea9e540790e5&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0a346b22766c00ed&srepoch=1712243656&all_sr_blocks=1156994201_388477159_0_1_0&highlighted_blocks=1156994201_388477159_0_1_0&matching_block_id=1156994201_388477159_0_1_0&sr_pri_blocks=1156994201_388477159_0_1_0__225000&from=searchresults#hotelTmpl
