Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link,City
Offbeat Abodes - Tirthan Valley | Homestay,3609,4.1,21, 1.4 km from Gushaini,0km,https://www.makemytrip.com/hotels/offbeat_abodes_tirthan_valley_homestay-details-banjar.html,Tirthan Valley 
Heaven tirthan view home stay sharchi,2049,4.5,6, 2.8 km from Gushaini,2.8 km ,https://www.makemytrip.com/hotels/heaven_tirthan_view_home_stay_sharchi-details-banjar.html,Sharchi 
Hostay Tirthan,2870,,0, 1.1 km from Gushaini,1.1 km ,https://www.makemytrip.com/hotels/hostay_tirthan-details-banjar.html,Tirthan Valley 
Mazel Tov Hostel | Rooms & Dorms,1051,4.1,10, 2.5 km from Gushaini,2.5 km ,https://www.makemytrip.com/hotels/mazel_tov_hostel_rooms_dorms-details-banjar.html,Tirthan Valley 
BHAGWATI HOME STAY,1698,4.6,5, 2.2 km from Gushaini,2.2 km ,https://www.makemytrip.com/hotels/bhagwati_home_stay-details-banjar.html,Tirthan Valley 
Tirthan Holidays Camp & Cottages,3076,0,0, 2.6 km from Gushaini,2.6 km ,https://www.makemytrip.com/hotels/tirthan_holidays_camp_cottages-details-banjar.html,Tirthan Valley 
Mountiver X Tirthan Valley,10230,0,0, 2.2 km from Gushaini,2.2 km ,https://www.makemytrip.com/hotels/mountiver_x_tirthan_valley-details-banjar.html,Banjar 
Tirthan Majestic View Home Stay,1591,0,0, 1.6 km from Gushaini,1.6 km ,https://www.makemytrip.com/hotels/tirthan_majestic_view_home_stay-details-banjar.html,Banjar 
OYO Kamal Guest House Tirthan,725,,0, 2.9 km from Gushaini,2.9 km ,https://www.makemytrip.com/hotels/oyo_kamal_guest_house_tirthan-details-banjar.html,Tirthan Valley 
The Riverwalk Resort Tirthan,2268,,15, 3.4 km from Gushaini,3.4 km ,https://www.makemytrip.com/hotels/the_riverwalk_resort_tirthan-details-banjar.html,Tirthan Valley 
TIRTHAN MID POINT - BY RIVER SIDE,4686,4.1,59, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/tirthan_mid_point_by_river_side-details-banjar.html,Tirthan Valley 
Jujurana Stays.,6761,3.9,50, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/jujurana_stays_-details-banjar.html,Tirthan Valley 
Tirthan Living Green,4107,4.4,7, 4.7 km from Gushaini,4.7 km ,https://www.makemytrip.com/hotels/tirthan_living_green-details-banjar.html,Tirthan Valley 
House of Sharon - Tirthan Valley,3201,4.2,8, 4.9 km from Gushaini,0km,https://www.makemytrip.com/hotels/house_of_sharon_tirthan_valley-details-banjar.html,Tirthan Valley 
Divine Tirthan - A perfect getaway in the lap of Himalayas,2952,,3, 4 km from Gushaini,4 km ,https://www.makemytrip.com/hotels/divine_tirthan_a_perfect_getaway_in_the_lap_of_himalayas-details-banjar.html,Tirthan Valley 
Symphony Woods Resort Tirthan,2916,,4, 3.3 km from Gushaini,3.3 km ,https://www.makemytrip.com/hotels/symphony_woods_resort_tirthan-details-banjar.html,Tirthan Valley 
StayVista at Mellow @ Breezy Banks,12949,0,0, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/stayvista_at_mellow_breezy_banks-details-banjar.html,Tirthan Valley 
StayVista at Zephyr @ Breezy Banks,23487,0,0, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/stayvista_at_zephyr_breezy_banks-details-banjar.html,Tirthan Valley 
Zannat @tirthan,2963,0,0, 4.6 km from Gushaini,4.6 km ,https://www.makemytrip.com/hotels/zannat_tirthan-details-banjar.html,Pekhri 
SHANAYA CAFE AND ROOMS,1719,0,0, 3.9 km from Gushaini,3.9 km ,https://www.makemytrip.com/hotels/shanaya_cafe_and_rooms-details-banjar.html,Tirthan Valley 
StayVista at Melodic @ Breezy Banks,5267,0,0, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/stayvista_at_melodic_breezy_banks-details-banjar.html,Tirthan Valley 
StayVista at Gale @ Breezy Banks,5267,0,0, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/stayvista_at_gale_breezy_banks-details-banjar.html,Tirthan Valley 
StayVista at Breezy Banks,33216,0,0, 4.7 km from Gushaini,0km,https://www.makemytrip.com/hotels/stayvista_at_breezy_banks-details-banjar.html,Tirthan Valley 
Great Himalayan nature view cottage and resort,2636,,0, 4 km from Gushaini,4 km ,https://www.makemytrip.com/hotels/great_himalayan_nature_view_cottage_and_resort-details-banjar.html,Tirthan Valley 
TIRTHAN VALLEY SIGHT SEEN,1961,0,0, 3.3 km from Gushaini,3.3 km ,https://www.makemytrip.com/hotels/tirthan_valley_sight_seen-details-banjar.html,Tirthan Valley 
Mount Trek Camping,2322,0,0, 4.5 km from Gushaini,4.5 km ,https://www.makemytrip.com/hotels/mount_trek_camping-details-banjar.html,Tirthan Valley 
Hotel Mansarovar - Tirthan Valley,2583,,6, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/hotel_mansarovar_tirthan_valley-details-banjar.html,Tirthan Valley 
RIVERAANSH HOME STAY | Hill View Rooms,3121,4.7,30, 6.2 km from Gushaini,0km,https://www.makemytrip.com/hotels/riveraansh_home_stay_hill_view_rooms-details-banjar.html,Tirthan Valley 
Doris Mountain Cabins Tirthan,1231,5.0,3, 8 km from Gushaini,0km,https://www.makemytrip.com/hotels/doris_mountain_cabins_tirthan-details-banjar.html,Tirthan Valley 
Woodtrail Cottages Jibhi,1401,4.5,5, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/woodtrail_cottages_jibhi-details-banjar.html,Tirthan Valley 
Khwaabgaah  A Boutique Homestay,2649,4.9,8, 5.8 km from Gushaini,5.8 km ,https://www.makemytrip.com/hotels/khwaabgaah_a_boutique_homestay-details-banjar.html,Tirthan Valley 
Pahadi basera,3198,4.6,29, 9.6 km from Gushaini,9.6 km ,https://www.makemytrip.com/hotels/pahadi_basera-details-banjar.html,Banjar 
VIPUL TIRTHAN VIEW HOME STAY,1916,4.4,32, 8 km from Gushaini,8 km ,https://www.makemytrip.com/hotels/vipul_tirthan_view_home_stay-details-banjar.html,Tirthan Valley 
Tirthan Jaabal  Homestay,2464,4.5,18, 8.1 km from Gushaini,8.1 km ,https://www.makemytrip.com/hotels/tirthan_jaabal_homestay-details-banjar.html,Tirthan Valley 
