Hotel name,Prices,Rating counts,Total Rating,Address,Distance from center,Hotel-link
Let’s Take it Easy (LTE),1170,9.7,14.0,Jibhi,250 m ,https://www.booking.com/hotel/in/lets-take-it-easy-lte.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=931847603_365255398_1_42_0&highlighted_blocks=931847603_365255398_1_42_0&matching_block_id=931847603_365255398_1_42_0&sr_pri_blocks=931847603_365255398_1_42_0__117000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Salida homes jibhi,1000,0.0,0.0,Jibhi,300 m ,https://www.booking.com/hotel/in/salida-homes-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1163396505_389027716_1_42_0&highlighted_blocks=1163396505_389027716_1_42_0&matching_block_id=1163396505_389027716_1_42_0&sr_pri_blocks=1163396505_389027716_1_42_0__100000&dcs_click=1&from=searchresults#hotelTmpl
anavrin,1748,8.1,7.0,Jibhi,450 m ,https://www.booking.com/hotel/in/anavrin-jibhi1.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=992439901_372209878_0_0_0&highlighted_blocks=992439901_372209878_0_0_0&matching_block_id=992439901_372209878_0_0_0&sr_pri_blocks=992439901_372209878_0_0_0__174755&dcs_click=1&from=searchresults#hotelTmpl
Gushaini Retreat - Jibhi,1350,10.0,6.0,Jibhi,6 km ,https://www.booking.com/hotel/in/orange-sky-homestay.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=780642103_336482431_0_42_0&highlighted_blocks=780642103_336482431_0_42_0&matching_block_id=780642103_336482431_0_42_0&sr_pri_blocks=780642103_336482431_0_42_0__135000&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
"The Misty Wilds Home, Jibhi",2479,9.1,25.0,Jibhi,4.3 km ,https://www.booking.com/hotel/in/the-misty-wilds-home-hirab-valley.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=799314201_372932899_1_41_0&highlighted_blocks=799314201_372932899_1_41_0&matching_block_id=799314201_372932899_1_41_0&sr_pri_blocks=799314201_372932899_1_41_0__247920&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
HRH By Hostalgic,1840,0.0,0.0,Jibhi,200 m ,https://www.booking.com/hotel/in/hth-by-hostalgic.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1179658905_390626830_2_42_0&highlighted_blocks=1179658905_390626830_2_42_0&matching_block_id=1179658905_390626830_2_42_0&sr_pri_blocks=1179658905_390626830_2_42_0__184000&dcs_click=1&from=searchresults#hotelTmpl
Jibhi Diaries Homestay,1764,9.2,5.0,Jibhi,1.7 km ,https://www.booking.com/hotel/in/jibhi-diaries-homestay.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=967871308_369227855_2_1_0&highlighted_blocks=967871308_369227855_2_1_0&matching_block_id=967871308_369227855_2_1_0&sr_pri_blocks=967871308_369227855_2_1_0__176400&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Hillside Hideaway,2000,0.0,0.0,Jibhi,0.8 km ,https://www.booking.com/hotel/in/hillside-hideaway-kullu.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1180951906_390540058_2_2_0&highlighted_blocks=1180951906_390540058_2_2_0&matching_block_id=1180951906_390540058_2_2_0&sr_pri_blocks=1180951906_390540058_2_2_0__200000&dcs_click=1&from=searchresults#hotelTmpl
Peppy Nomads Luxuria,3888,8.6,13.0,Jibhi,1 km ,https://www.booking.com/hotel/in/white-hill-jibhi-by-peppy-nomads.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=802515509_374430326_1_0_0&highlighted_blocks=802515509_374430326_1_0_0&matching_block_id=802515509_374430326_1_0_0&sr_pri_blocks=802515509_374430326_1_0_0__388800&from_sustainable_property_sr=1&dcs_click=1&from=searchresults#hotelTmpl
Red House Cafe & Inn,1535,0.0,0.0,Jibhi,350 m ,https://www.booking.com/hotel/in/red-house-cafe-amp-inn-jibhi.html?label=bc29a95ef28e11ee8e8d715acd892bb1&sid=f7dfbf4df493fe46ecc5e846650e34cc&aid=2167732&ucfs=1&arphpl=1&checkin=2024-04-04&checkout=2024-04-05&dest_id=900056686&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=055b6563793c010b&srepoch=1712240831&all_sr_blocks=1139442201_386827358_1_42_0&highlighted_blocks=1139442201_386827358_1_42_0&matching_block_id=1139442201_386827358_1_42_0&sr_pri_blocks=1139442201_386827358_1_42_0__153520&dcs_click=1&from=searchresults#hotelTmpl
